"","ID","Sample.Plate","Species","Region","Site","CollectionDate","Season","Rain","Depth","propA","propB","propC","propD","dom","background","totalSym","use","count","X"
"12","urban_313","Sample 1_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami reef","Rainbow Reef","23-Jun","Summer","Wet",4.6,0.128050906,0.000878,0.864761871,0.006309427,"C","BD",1,"y",1,NA
"13","urban_316","Sample 2_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami reef","Rainbow Reef","23-Jun","Summer","Wet",5.2,0.303022459,0,0.695908629,0.001068911,"C","D",1,"y",1,NA
"14","urban_255","Sample 3_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.6,0.444018228,0,0,0.555981772,"D","",1,"y",1,NA
"15","urban_269","Sample 4_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.5,0.298403774,0,0,0.701596226,"D","",1,"y",1,NA
"16","urban_270","Sample 5_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.3,0.318164621,0,0,0.681835379,"D","",1,"y",1,NA
"17","urban_112","Sample 6_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0.185873038,0,0,0.814126962,"D","",1,"y",1,NA
"18","urban_115","Sample 7_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0.417391989,0,0,0.582608011,"D","",1,"y",1,NA
"19","M1","Sample 8_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0.06637725,0,0,0.93362275,"D","A",1,"y",1,NA
"20","urban_177","Sample 9_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.3,0.434396602,0,0,0.565603398,"D","",1,"y",1,NA
"21","urban_178","Sample 10_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.5,0.304078947,0,0.004653227,0.691267826,"D","C",1,"y",1,NA
"22","urban_179","Sample 11_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.5,0.321483896,0.000963,0,0.677552809,"D","B",1,"y",1,NA
"23","urban_189","Sample 1_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0.423168069,0.006983431,0,0.5698485,"D","B",1,"y",1,NA
"24","urban_191","Sample 2_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0.324018987,0.000354,0,0.675627104,"D","B",1,"y",1,NA
"25","urban_201","Sample 5_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0.537017516,0,0,0.462982484,"A","",1,"y",1,NA
"26","urban_205","Sample 6_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0.388149579,0,0,0.611850421,"D","",1,"y",1,NA
"27","urban_002","Sample 9_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0.119354089,0.000774,0.49850388,0.381367643,"","B",1,"y",1,NA
"28","urban_005","Sample 10_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0.180511463,0.008801461,8.78e-05,0.810599245,"D","BC",1,"y",1,NA
"29","urban_009","Sample 12_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0.046016336,0,0,0.953983664,"D","A",1,"y",1,NA
"30","urban_010","Sample 1_UrbanPopgen_Plate04_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0.193808134,0.001167169,0,0.805024697,"D","B",1,"y",1,NA
"31","urban_135","Sample 1_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.373839486,0,0,0.626160514,"D","",1,"y",1,NA
"32","urban_147 rex","Sample 2_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.243192091,0,6.53e-05,0.756742631,"D","C",1,"y",1,NA
"33","urban_154","Sample 3_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.273391312,0,0,0.726608688,"D","",1,"y",1,NA
"34","urban_157 rex","Sample 4_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.700146988,0,0,0.299853012,"A","",1,"y",1,NA
"35","urban_158 rex","Sample 5_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.490084527,0,5.69e-05,0.509858592,"","C",1,"y",1,NA
"36","urban_162 rex","Sample 6_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.633656021,0,0,0.366343979,"A","",1,"y",1,NA
"37","urban_163 rex","Sample 7_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.230156609,0,3.94e-05,0.769804006,"D","C",1,"y",1,NA
"38","nmfs_011","Sample 8_UrbanPopgen_Plate05_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Jan","Winter","Dry",6.1,0.000198,0.904700271,0.060746453,0.034354955,"B","ACD",1,"y",1,NA
"39","nmfs_012","Sample 9_UrbanPopgen_Plate05_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Jan","Winter","Dry",6.7,0.002062582,0.980554823,9.75e-06,0.017372839,"B","ACD",1,"y",1,NA
"40","nmfs_014","Sample 10_UrbanPopgen_Plate05_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Jan","Winter","Dry",6.7,0.001937667,0.52319439,0,0.474867943,"B","A",1,"y",1,NA
"41","nmfs_017","Sample 12_UrbanPopgen_Plate05_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Jan","Winter","Dry",6.4,0.000335,0.708825774,0,0.290839012,"B","A",1,"y",1,NA
"42","nmfs_036","Sample 1_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Feb","Winter","Dry",6.4,0,1,0,0,"B","",1,"y",1,NA
"43","nmfs_037","Sample 2_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Feb","Winter","Dry",6.1,0.001707436,0.875514159,0,0.122778405,"B","A",1,"y",1,NA
"44","nmfs_038","Sample 3_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Feb","Winter","Dry",6.4,0.000951,0.808141192,0,0.190908288,"B","A",1,"y",1,NA
"45","nmfs_041","Sample 4_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Feb","Winter","Dry",6.4,0.001513098,0.998227858,6.97e-05,0.000189,"B","ACD",1,"y",1,NA
"46","nmfs_043","Sample 5_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Feb","Winter","Dry",6.4,0.001556185,0.998443815,0,0,"B","A",1,"y",1,NA
"47","urban_076","Sample 6_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.3,0.013845275,0.006746884,0,0.979407841,"D","AB",1,"y",1,NA
"48","urban_077","Sample 7_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.6,0.253790719,0.278641834,0,0.467567447,"","",1,"y",1,NA
"49","urban_080","Sample 8_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.3,0.010334882,0.985970691,0,0.003694426,"B","AD",1,"y",1,NA
"50","urban_081","Sample 9_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.6,0.298272831,0,4.42e-05,0.701682975,"D","C",1,"y",1,NA
"51","urban_082","Sample 10_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.6,0.13872631,0,0.000154,0.861119374,"D","C",1,"y",1,NA
"52","urban_084","Sample 11_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.9,0.027879184,0,1.74e-05,0.972103403,"D","AC",1,"y",1,NA
"53","nmfs_005","Sample 1_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Jan","Winter","Dry",6.7,0.001219376,0.96912166,0,0.029658964,"B","AD",1,"y",1,NA
"54","nmfs_046","Sample 2_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Feb","Winter","Dry",5.2,0.000755,0.998519999,4.71e-05,0.000678,"B","ACD",1,"y",1,NA
"55","nmfs_048","Sample 3_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Feb","Winter","Dry",5.5,0.00530331,0.001687954,0,0.993008737,"D","AB",1,"y",1,NA
"56","nmfs_051","Sample 4_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Feb","Winter","Dry",5.2,0.003223823,0.996776177,0,0,"B","A",1,"y",1,NA
"57","nmfs_052","Sample 5_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Feb","Winter","Dry",5.2,0.000266,0.567311937,2.92e-05,0.432393127,"B","AC",1,"y",1,NA
"58","nmfs_053","Sample 6_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Feb","Winter","Dry",6.1,0,0.00563731,1.8e-05,0.994344692,"D","BC",1,"y",1,NA
"59","urban_091","Sample 7_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.6,0.009250024,0.985538194,9.73e-05,0.005114508,"B","ACD",1,"y",1,NA
"60","urban_093","Sample 8_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0.096800875,0,0,0.903199125,"D","A",1,"y",1,NA
"61","urban_094","Sample 9_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.9,0.222269911,0.651651355,0.020052996,0.106025738,"B","C",1,"y",1,NA
"62","urban_095","Sample 10_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.9,0.030806429,0.377327195,0,0.591866375,"D","A",1,"y",1,NA
"63","urban_096","Sample 11_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.9,0.488806248,0.499300834,0.011892919,0,"","C",1,"y",1,NA
"64","urban_099","Sample 2_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.3,0.141232599,0,0,0.858767401,"D","",1,"y",1,NA
"65","urban_100","Sample 3_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0.120107057,0.879892943,0,0,"B","",1,"y",1,NA
"66","urban_101","Sample 4_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0.007895618,0.619709369,0,0.372395012,"B","A",1,"y",1,NA
"67","urban_102","Sample 5_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0.009910309,0.989565978,0,0.000524,"B","AD",1,"y",1,NA
"68","urban_105","Sample 6_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.2,0.954150414,0,0.000749,0.045100119,"A","CD",1,"y",1,NA
"69","urban_106","Sample 7_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0.129761762,0.810106634,1.3e-05,0.060118565,"B","CD",1,"y",1,NA
"70","nmfs_031","Sample 8_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Jan","Winter","Dry",0.9,0.000781,0,0,0.999218518,"D","A",1,"y",1,NA
"71","nmfs_032","Sample 9_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Jan","Winter","Dry",1.5,0.001523953,0,0,0.998476047,"D","A",1,"y",1,NA
"72","nmfs_033","Sample 10_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Jan","Winter","Dry",0.9,0.003899066,0.000229,0,0.99587238,"D","AB",1,"y",1,NA
"73","nmfs_034","Sample 11_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Jan","Winter","Dry",1.2,0.000382,0.001076194,0,0.99854153,"D","AB",1,"y",1,NA
"74","nmfs_035","Sample 12_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Jan","Winter","Dry",0.9,0,0.000659,0,0.99934135,"D","B",1,"y",1,NA
"75","nmfs_066","Sample 1_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",1.2,0.000624,0,0,0.999376483,"D","A",1,"y",1,NA
"76","nmfs_067","Sample 2_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",1.2,0.000799,0,0,0.999201278,"D","A",1,"y",1,NA
"77","nmfs_068","Sample 3_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",0.9,0.000428,0,0,0.999571935,"D","A",1,"y",1,NA
"78","nmfs_069","Sample 4_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",1.2,0.00883367,0,0,0.99116633,"D","A",1,"y",1,NA
"79","nmfs_070","Sample 5_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",1.2,0.001079397,0,0,0.998920603,"D","A",1,"y",1,NA
"80","nmfs_075","Sample 6_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",0.9,0.017203895,0,0,0.982796105,"D","A",1,"y",1,NA
"81","nmfs_056","Sample 7_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","Star Island","21-Feb","Winter","Dry",1.5,0.000234,0,0,0.999766052,"D","A",1,"y",1,NA
"82","nmfs_058","Sample 8_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","Star Island","21-Feb","Winter","Dry",1.2,0.000985,0.002350501,0,0.996664558,"D","AB",1,"y",1,NA
"83","nmfs_063","Sample 9_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","Star Island","21-Feb","Winter","Dry",1.5,0,0.001556744,0,0.998443256,"D","B",1,"y",1,NA
"84","nmfs_064","Sample 10_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","Star Island","21-Feb","Winter","Dry",0.6,0.001454274,0,2.42e-05,0.998521503,"D","AC",1,"y",1,NA
"85","nmfs_065","Sample 11_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","Star Island","21-Feb","Winter","Dry",1.2,0.000765,0,0,0.999234871,"D","A",1,"y",1,NA
"86","urban_019","Sample 1_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0.003942385,0,0,0.996057615,"D","A",1,"y",1,NA
"87","urban_021","Sample 2_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0.00178391,0,0,0.99821609,"D","A",1,"y",1,NA
"88","urban_144","Sample 3_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.021622844,0.977590589,0.000419,0.000367,"B","ACD",1,"y",1,NA
"89","urban_145 rex","Sample 4_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.000952,0,0,0.999048493,"D","A",1,"y",1,NA
"90","urban_153","Sample 5_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.001656293,0,0,0.998343707,"D","A",1,"y",1,NA
"91","urban_159 rex","Sample 6_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.000827,0,0,0.999173295,"D","A",1,"y",1,NA
"92","urban_160 rex","Sample 7_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0.024655909,0,0,0.975344091,"D","A",1,"y",1,NA
"93","urban_085","Sample 8_UrbanPopgen_Plate11_7-6-23_data.csv","Cnat","Miami reef","Emerald Reef","22-Oct","Fall","Wet",8.2,0.000731,0,0,0.999269103,"D","A",1,"y",1,NA
"94","urban_098","Sample 9_UrbanPopgen_Plate11_7-6-23_data.csv","Cnat","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.6,0.01737055,0.98262945,0,0,"B","A",1,"y",1,NA
"95","urban_314","Sample 10_UrbanPopgen_Plate11_7-6-23_data.csv","Cnat","Miami reef","Rainbow Reef","23-Jun","Summer","Wet",4.9,0.002290198,0.003249976,0.00019,0.994270233,"D","ABC",1,"y",1,NA
"96","urban_251","Sample 11_UrbanPopgen_Plate11_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.5,0.006346047,0,0,0.993653953,"D","A",1,"y",1,NA
"97","urban_252","Sample 12_UrbanPopgen_Plate11_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.4,0,0,0,1,"D","",1,"y",1,NA
"98","urban_253","Sample 1_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.5,0.000577,0,0,0.999422943,"D","A",1,"y",1,NA
"99","urban_254","Sample 2_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.5,0.012779753,0,0,0.987220247,"D","A",1,"y",1,NA
"100","urban_256","Sample 3_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.1,0,0.002580332,0,0.997419668,"D","B",1,"y",1,NA
"101","urban_257","Sample 4_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.1,0.001010491,0,0,0.998989509,"D","A",1,"y",1,NA
"102","urban_258","Sample 5_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.8,0.000251,0,0,0.999749246,"D","A",1,"y",1,NA
"103","urban_259","Sample 6_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1,6.84e-05,0.000118,0,0.999813962,"D","AB",1,"y",1,NA
"104","urban_261","Sample 7_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.1,0.001162063,0,0,0.998837937,"D","A",1,"y",1,NA
"105","urban_262","Sample 8_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.2,0,0,0.000818,0.999181795,"D","C",1,"y",1,NA
"106","urban_263","Sample 9_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.5,0.001086066,0,0,0.998913934,"D","A",1,"y",1,NA
"107","urban_264","Sample 10_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1,0.000479,0,0,0.999520932,"D","A",1,"y",1,NA
"108","urban_265","Sample 11_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.6,0.019787559,0,0,0.980212441,"D","A",1,"y",1,NA
"109","urban_266","Sample 1_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.7,0.002495702,0,0.000495,0.997009042,"D","AC",1,"y",1,NA
"110","urban_267","Sample 2_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.6,0.056386999,0,0,0.943613001,"D","A",1,"y",1,NA
"111","urban_268","Sample 3_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.6,0.004081657,0,0,0.995918343,"D","A",1,"y",1,NA
"112","urban_113","Sample 4_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0.004669566,0,0,0.995330434,"D","A",1,"y",1,NA
"113","urban_114","Sample 5_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0.000323,0,0,0.999676921,"D","A",1,"y",1,NA
"114","urban_117","Sample 6_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0.002039501,0,2.04e-05,0.997940081,"D","AC",1,"y",1,NA
"115","urban_118","Sample 7_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0.000967,0.016823457,0,0.982209322,"D","AB",1,"y",1,NA
"116","urban_119","Sample 8_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0.034125779,0,0.001375615,0.964498606,"D","AC",1,"y",1,NA
"117","urban_121","Sample 9_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0.012155124,0,0,0.987844876,"D","A",1,"y",1,NA
"118","urban_122","Sample 10_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0.012183523,0,0.000362,0.987453991,"D","AC",1,"y",1,NA
"119","urban_174","Sample 11_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0.000261,0,0.000314,0.99942527,"D","AC",1,"y",1,NA
"120","urban_175","Sample 12_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.3,0.000488,0.034795601,0,0.96471597,"D","AB",1,"y",1,NA
"121","urban_176","Sample 1_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.3,0,0,0,1,"D","",1,"y",1,NA
"122","urban_180","Sample 2_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.2,0.011715413,0,9.29e-05,0.988191709,"D","AC",1,"y",1,NA
"123","urban_182","Sample 3_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.2,0.003382167,0.01133464,0,0.985283193,"D","AB",1,"y",1,NA
"124","urban_184","Sample 4_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.2,0.000188,0,0,0.99981199,"D","A",1,"y",1,NA
"125","urban_190 rex","Sample 5_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0.002619437,0.39217333,0,0.605207233,"D","A",1,"y",1,NA
"126","urban_192","Sample 6_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0.000515,0.000135,0.999349422,"D","BC",1,"y",1,NA
